iter	R2	RMSE
0	0.0238377097	0.1398571437
1	0.04738943182	0.1381596864
2	0.06994404408	0.1365143106
3	0.09174321015	0.1349049756
4	0.1130107475	0.1333161674
5	0.1336665228	0.1317547222
6	0.1539654137	0.1302020134
7	0.173433344	0.128695269
8	0.1923326991	0.1272154596
9	0.2106115601	0.125767672
10	0.2284074989	0.1243419404
11	0.245910014	0.1229235879
12	0.2628590619	0.121534312
13	0.279330202	0.1201688215
14	0.2946408834	0.1188854711
15	0.3102012913	0.1175668358
16	0.3263290186	0.1161843309
17	0.3419910123	0.1148258196
18	0.3573547042	0.1134773819
19	0.3721527522	0.1121632639
20	0.3866132181	0.1108640775
21	0.4005720243	0.1095953543
22	0.4141665724	0.1083454595
23	0.4268012387	0.1071707482
24	0.4396411098	0.105963617
25	0.4520339291	0.1047853276
26	0.4641032754	0.1036249162
27	0.4757692786	0.1024907982
28	0.4871910392	0.1013681321
29	0.4983754923	0.1002566097
30	0.5091490384	0.09917414482
31	0.5195758719	0.0981151442
32	0.5297208981	0.0970736772
33	0.5395185586	0.0960571522
34	0.5491386777	0.09504847022
35	0.5585471729	0.0940515143
36	0.5676788301	0.09307368146
37	0.5764693461	0.0921225743
38	0.5851176492	0.09117717274
39	0.5935806431	0.09024244082
40	0.6017807528	0.08932741465
41	0.6096523735	0.08844013822
42	0.6173560291	0.08756308992
43	0.6246524854	0.08672422218
44	0.631897534	0.08588315783
45	0.6388285706	0.0850707644
46	0.6455330807	0.08427747133
47	0.6522991441	0.08346925189
48	0.6588701579	0.08267676932
49	0.6650369391	0.08192606569
50	0.6710884619	0.08118264474
51	0.6770789539	0.08043995455
52	0.6828909449	0.07971278136
53	0.6884412425	0.07901210329
54	0.6939768331	0.07830703744
55	0.6991342934	0.07764437269
56	0.7042696516	0.0769788801
57	0.7093839657	0.07631034679
58	0.7144096812	0.07564763965
59	0.7191927734	0.07501148811
60	0.7238097925	0.07439226459
61	0.7283349762	0.07378031499
62	0.7326982144	0.07318542027
63	0.737049631	0.07258728179
64	0.7411742896	0.07201572687
65	0.7452987151	0.07143963205
66	0.7491589309	0.0708962008
67	0.7529537034	0.07035789136
68	0.7566968896	0.06982283392
69	0.7602151784	0.06931615841
70	0.7636540339	0.06881731726
71	0.7671304092	0.06830933088
72	0.7703885728	0.06782977715
73	0.7736956245	0.06733953554
74	0.7767797989	0.06687909515
75	0.7798517998	0.0664172991
76	0.7829338087	0.06595074931
77	0.7858844599	0.0655009706
78	0.7886449152	0.06507736972
79	0.7914086835	0.06465048001
80	0.7941609269	0.06422255066
81	0.7968039582	0.06380890076
82	0.799606757	0.06336729638
83	0.8022850008	0.06294242192
84	0.804835069	0.06253519845
85	0.8074686457	0.062111837
86	0.8099911584	0.06170360615
87	0.8124094813	0.06130968479
88	0.8146889974	0.0609360423
89	0.8169940473	0.06055587019
90	0.8192800654	0.06017646494
91	0.8214360754	0.05981643177
92	0.8235186762	0.05946658756
93	0.8256164362	0.05911210372
94	0.8276093947	0.05877334903
95	0.8295368758	0.05844385613
96	0.8314063539	0.05812249418
97	0.8332142594	0.05781001739
98	0.8350375761	0.05749315687
99	0.8367077211	0.05720137471
100	0.8383049382	0.05692093424
101	0.8399198178	0.05663598083
102	0.8414705201	0.0563609959
103	0.8430141024	0.05608593462
104	0.8445657126	0.05580807652
105	0.8461507716	0.05552279271
106	0.8475627839	0.05526741418
107	0.8489536614	0.05501469915
108	0.8503123829	0.0547667007
109	0.8516545011	0.05452062527
110	0.8529152656	0.05428844991
111	0.8541456295	0.05406091161
112	0.8554622568	0.05381635454
113	0.8567267732	0.053580426
114	0.8579221235	0.05335644302
115	0.8591346825	0.05312827074
116	0.860254996	0.05291658224
117	0.8613655274	0.05270590301
118	0.8625065084	0.05248856645
119	0.8635274396	0.05229333153
120	0.864487026	0.05210916083
121	0.8654924731	0.05191548732
122	0.8665043221	0.05171984846
123	0.8673953698	0.05154695142
124	0.8683638806	0.05135836348
125	0.8692680109	0.05118168453
126	0.8701477601	0.05100918255
127	0.871065863	0.05082853589
128	0.871941607	0.05065562345
129	0.872709181	0.05050358197
130	0.8735760917	0.05033131152
